Block Size,QuickSort Random (ms),MergeSort Random (ms),QuickSort Best (ms),MergeSort Best (ms),QuickSort Worst (ms),MergeSort Worst (ms)
50800,46.878,162.062,26258.4,108.263,20273.4,90.579
50900,38.995,121.404,24697.1,97.444,20119.7,95.502
51000,41.581,107.914,25021.9,79.768,20499.8,91.452
51100,45.099,123.505,24764.5,77.856,21925.4,99.785
51200,49.004,140.548,28075.3,107.049,20856.1,95.254
51300,50.179,115.951,25344.4,107.38,22794.7,107.398
51400,48.792,118.066,24641,91.686,20506.5,99.38
51500,39.977,120.428,25274.2,91.64,20404.8,96.472
51600,40.662,115.114,25341.9,92.016,20935.1,98.819
51700,40.115,115.12,25017.1,91.132,21305.9,98.148
51800,33.224,116.709,25499.4,79.55,20661.6,97.876
51900,33.532,104.046,25860.1,86.354,24512.8,102.906
52000,44.169,125.002,26870,88.866,21276.3,86.912
52100,47.259,107.68,25702.4,92.596,21096.6,92.303
52200,46.722,112.203,25347.9,92.022,21308.5,100.491
52300,41.307,114.952,25473.8,91.89,21797.2,99.992
52400,49.974,124.182,25570.3,99.339,22198.3,98.948
52500,41.161,121.682,25761.6,91.322,21280.7,92.023
52600,46.327,119.62,25918.2,95.185,21582.3,90.674
52700,47.135,118.99,26162.6,98.94,21835,83.168
52800,41.888,124.189,26160.6,91.466,21104.8,100.456
52900,48.15,149.893,26073,98.927,20816.1,77.178
53000,41.353,116.133,22463.2,33.581,7296.1,24.518
53100,16.374,40.455,9310.1,24.92,7307.69,35.395
53200,19.834,40.706,8736.74,24.927,7117.05,25.051
53300,16.012,32.472,8661.47,33.686,7220.54,33.204
53400,27.919,36.899,8883.75,33.274,7217.97,41.384
53500,16.741,48.854,8779.79,33.165,7198.3,32.505
53600,18.708,49.179,9099.86,32.873,7041.99,32.635
53700,28.975,45.256,8752.6,33.354,7016.58,34.133
53800,16.395,49.201,8840.09,34.372,7113.64,32.578
53900,12.373,48.822,8773.36,49.63,7219.93,32.76
54000,19.409,55.609,8758.92,41.656,7165.77,33.834
54100,15.833,41.253,8808.7,25.698,7133.33,32.549
54200,27.229,38.486,9033.18,37.122,7301.51,33.417
54300,12.151,45.858,8828.39,32.506,7236.05,32.95
54400,14.615,50.282,8787.97,33.386,7462.06,43.07
54500,16.47,39.989,8802.09,33.592,7417.66,25.344
54600,14.877,40.649,9075.7,30.25,7392.74,41.477
54700,23.667,49.862,8705.95,40.597,7283.5,31.165
54800,12.314,41.846,9264.33,41.146,7910.34,33.012
54900,17.401,40.73,8991.39,36.21,7586,41.352
55000,15.982,49.577,9383.29,33.089,7745.45,25.178
55100,16.797,45.168,9061.04,32.703,7442.94,24.961
55200,14.724,42.654,9109.48,32.566,7829.16,33.374
55300,16.134,41.294,9157.46,41.351,7659.59,33.217
55400,10.205,50.219,9316.99,33.553,7784.18,33.038
55500,16.087,40.458,9235.7,33.253,7895.84,32.836
55600,14.887,41.097,8980.45,32.919,7487,33.922
55700,7.763,41.531,9110.25,33.368,7543.87,34.396
55800,14.726,34.733,9522.39,24.925,7644.5,33.12
55900,16.568,46.618,8989.46,33.288,7642.62,32.825
56000,22.587,41.127,9287.05,33.382,7802.71,38.924
56100,8.898,40.575,9514.19,41.388,8042.73,33.92
56200,24.478,42.584,9509.57,41.082,7870.17,33.369
56300,16.458,41.669,9303.23,24.988,7725.51,32.831
56400,18.607,41.608,9353.53,32.985,7610.66,33.338
56500,10.053,47.591,9183.03,24.641,7757.5,33.325
56600,16.934,40.609,9364.29,25.768,7880.74,33.161
56700,16.702,45.412,9200.6,33.547,7897.3,41.538
56800,16.466,41.483,9278.31,32.852,7860.24,35.865
56900,16.622,55.013,9380.69,41.19,7737.65,33.293
57000,16.677,56.544,9435.83,32.744,7857.71,41.355
57100,16.818,49.601,9371.76,32.843,7868.58,41.789
57200,17.649,41.015,9384.63,33.382,7745.82,33.146
57300,17.047,57.184,9362.76,33.9,7951.21,33.231
57400,15.92,41.519,9328.42,32.91,7941.52,29.128
57500,15.824,49.281,9317.55,33.337,8052.2,32.463
57600,9.966,49.867,9787.69,32.833,8132.3,33.036
57700,17.085,40.915,9746.09,33.434,8187.68,33.294
57800,15.052,48.521,9756.61,31.697,8277.97,29.154
57900,16.435,49.844,10118.8,41.83,8750.72,49.094
58000,13.205,46.63,9871.76,33.484,8280.22,41.145
58100,16.801,49.415,9768.42,33.176,8098.36,41.563
58200,15.669,49.798,9651.46,33.463,8132.6,41.274
58300,16.601,41.279,9671.45,33.66,8109.84,41.388
58400,16.255,57.055,9726.12,33.106,8144.44,33.091
58500,12.834,50.226,9686.03,35.49,8084.5,32.704
58600,21.448,42.419,9533.61,40.937,8246.28,41.429
58700,20.04,46.645,9843.61,25.508,8383.49,33.499
58800,16.99,41.465,10069.4,49.432,8482.94,33.548
58900,17.213,48.848,9903.13,33.332,8439.67,41.351
59000,12.967,50.8,9885.28,50.029,8257.31,33.171
59100,16.58,49.544,9826.81,24.655,8264.06,32.512
59200,16.906,41.76,10211.9,40.925,8523.2,51.034
59300,15.946,74.341,10020.1,33.349,8427.41,33.272
59400,16.908,49.587,9983.53,41.557,8767.15,34.026
59500,16.411,49.831,10297.2,49.115,8660.25,41.154
59600,17.031,48.437,9912.96,41.413,8453.43,32.94
59700,9.71,53.606,9906.16,33.326,8440.35,41.234
59800,16.517,41.077,10377.8,33.167,8688.94,67.497
59900,16.825,53.663,10505.2,31.344,9015.75,41.543
60000,16.599,41.665,10463.7,34.677,8945.43,41.442
60100,10.51,41.501,10131.3,41.158,8657.13,33.064
60200,16.433,41.531,10135.8,33.096,9033.18,33.315
60300,16.311,41.587,10169.2,44.616,8661.5,33.189
60400,16.676,33.813,9970.08,32.999,8649.88,41.146
60500,16.405,49.507,9791.08,33.593,8510.85,32.212
60600,16.457,41.492,9836.26,40.582,8544.35,32.704
60700,14.288,40.916,10013.8,32.226,8609.97,37.462
60800,9.61,41.69,9967.63,33.088,8553.44,49.22
60900,16.27,48.735,9717.41,41.753,8542.81,33.17
61000,20.071,36.828,10016.4,33.099,8559.24,33.306
61100,16.201,41.368,9842.06,32.888,8752.3,33.315
61200,16.538,58.041,10593.3,33.372,9022.49,33.206
61300,16.451,41.501,10203,33.451,8828.42,41.439
61400,25.74,47.982,10331.7,40.511,9131.27,41.502
61500,14.687,40.856,10276.6,33.391,8885.41,33.238
61600,14.919,42.075,10335.8,41.383,8975.46,33.254
61700,16.423,41.819,10276.7,33.357,9135.27,33.224
61800,8.501,49.781,10557.7,50.07,8964.06,33.41
61900,15.706,42.198,10445.3,32.545,9071.95,40.543
62000,21.046,63.823,9998.3,33.448,8887.64,33.41
62100,16.601,42.201,10128.1,33.235,8872.86,45.728
62200,16.616,49.196,10241.9,33.693,8896.13,32.239
62300,16.969,41.881,10516.1,32.426,9151.09,41.166
62400,21.37,50.76,10379,32.217,9119.73,33.353
62500,16.05,42.161,10209.7,33.294,8925.81,41.618
62600,12.415,52.563,10677,41.334,9386.76,32.818
62700,9.745,56.533,10333.3,41.228,9064.18,40.858
62800,16.736,42.169,10779,40.162,9126.28,37.1
62900,18.689,43.849,10710,41.093,9287.06,40.737
63000,16.185,44.614,10672.2,40.563,9248.97,41.087
63100,16.092,41.989,10869.7,41.6,9246.05,41.194
63200,8.014,50.208,10771.7,39.518,9492.2,37.099
63300,16.663,42.016,10972.1,40.879,9530.77,40.895
63400,16.883,41.288,10756.3,28.777,9449.53,40.963
63500,15.661,50.22,10522.8,45.692,9553.69,33.299
63600,13.539,49.28,10640.3,41.641,9322.09,49.075
63700,8.674,49.414,10748.4,40.946,9120.53,33.306
63800,16.516,41.28,10612.8,33.217,9414.98,41.74
63900,22.804,47.355,10575.7,54.113,9168.35,42.031
64000,13.481,49.663,10880.4,33.357,9272.84,41.211
64100,13.525,51.947,10525.1,33.391,9424.73,33.572
64200,10.596,65.442,10590.6,37.273,9659.1,32.96
64300,18.685,48.865,11013.3,33.281,9616.55,33.304
64400,12.032,50.028,10869.6,49.688,9379.95,41.553
64500,22.113,42.98,10782.7,36.219,19033.3,115.763
64600,49.265,148.687,34446.9,123.65,29867.4,123.335
64700,52.562,145.886,34980.9,148.434,29930.8,125.247
64800,47.237,140.95,34322.3,124.95,28366.8,113.894
64900,28.064,88.7,1.0073e+007,45.288,8910.62,32.698
65000,16.785,44.292,9783.41,33.013,8289.07,32.429
65100,13.698,43.328,10945.6,32.743,8994.45,33.832
65200,19.303,45.148,9635.26,33.385,8260.62,30.65
65300,21.904,43.218,9251.94,30.175,8113.2,29.672
65400,21.612,47.974,9548.82,29.886,7919.69,40.54
65500,15.463,45.707,9514.98,29.049,8047.24,30.351
65600,14.691,41.624,9208.4,33.863,7918.62,29.874
65700,12.916,39.601,8831.33,50.221,7714.56,29.302
65800,20.028,45.838,9051.41,39.749,7783.05,30.14
65900,17.006,38.832,8594.27,29.469,7690.38,29.73
66000,12.361,38.531,9032.68,41.067,7932.68,31.403
66100,13.692,46.892,9095.6,29.216,7645.94,32.421
66200,13.821,41.759,10082.5,32.658,9684.96,30.96
66300,11.351,37.896,8663.35,29.537,7527.69,32
66400,14.913,37.185,9531.47,30.476,7651.97,36.061
66500,17.274,51.976,8733.28,31.213,7605,30.424
66600,13.106,36.331,8525.03,30.144,7431.24,30.473
66700,16,37.071,8472.47,32.366,7526.92,30.624
66800,15.787,37.826,8597.92,30.235,7562.57,31.015
66900,12.897,36.422,8735.63,30.475,7502.08,30.269
67000,11.007,36.262,8703.55,30.557,7509.29,29.877
67100,13.007,41.222,8704.85,32.417,7542.63,30.25
67200,13.148,37.738,8882.28,32.411,7552.54,31.611
67300,14.826,36.722,8751.22,30.333,7619.04,31.207
67400,11.45,36.604,8858.72,30.059,7598.5,29.76
67500,15.996,36.995,8952.76,31.23,7799.95,30.361
67600,13.998,36.583,8779.95,30.002,7844.27,31.378
67700,15.457,37.702,9036.26,30.922,8849.42,35.399
67800,15.534,40.996,11151.1,55.841,8021.91,31.718
67900,13.015,36.389,8900.47,31.57,7851.56,32.223
68000,22.091,37.856,8962.98,31.435,7997.37,31.623
68100,11.993,37.272,8927.71,31.932,7862.57,31.457
68200,14.31,37.145,9099.97,32.149,8053.41,31.528
68300,12.997,37.303,9302.92,31.707,8220.12,31.487
68400,16.227,39.019,9126.18,31.898,7867.91,31.97
68500,13.673,38.409,9153.57,32.996,8275.35,32.179
68600,13.587,41.484,9254.17,30.605,8117.59,34.007
68700,16.456,38.066,9035.62,31.884,8000.19,31.671
68800,14.477,36.517,9053.31,33.99,8061.32,32.887
68900,16.532,37.263,9206.9,33.11,8254.87,30.679
69000,12.97,37.319,9149.75,31.741,7970.58,35.248
69100,17.561,38.918,9208.94,31.274,8299.58,31.836
69200,16.427,38.693,10030.6,37.856,8783.68,33.068
69300,14.391,42.113,10030.1,35.872,9325.54,36.674
69400,16.459,44.151,10454.7,36.779,9153.56,36.044
69500,14.897,43.046,10643.4,36.008,9076.9,38.697
69600,15.029,43.566,10162.3,35.112,8964.99,33.574
69700,17.899,44.017,10114.5,35.337,8847.86,35.2
69800,14.985,40.955,9960.08,38.486,9065.01,34.549
69900,13.998,40.246,10322.2,37.367,8990.45,33.308
70000,13.311,41.17,9848.24,37.468,8986.49,36.633
70100,17.237,49.519,10295.8,35.188,9257.79,34.789
70200,17.006,46.43,10008.3,35.919,9037.06,40.766
70300,15.736,48.361,13102,38.327,11040.1,38.681
70400,21.471,70.763,12955.6,39.167,11314,42.19
70500,33.987,48.902,12981.1,42.746,11530.9,69.974
70600,30.081,104.219,12960.4,67.448,11425.9,39.502
70700,16.877,69.015,12907.8,38.748,11542.4,38.552
70800,35.914,95.674,13337.5,45.54,11706.1,38.531
70900,34.731,105.307,12964,39.377,11312,38.681
71000,23.837,86.935,14074.9,40.726,13646.2,38.414
71100,16.011,84.012,15476.4,51.67,16931.3,57.205
71200,21.91,75.019,13852.1,65.825,11756.6,38.475
71300,16.53,54.463,12507.6,40.659,15974.9,68.408
71400,16.029,77.961,13110.8,38.769,11583.4,48.3
71500,27.541,91.541,12935,39.118,12609.4,39.726
71600,15.518,56.593,14143.4,42.038,11859,56.36
71700,23.335,68.168,14159.2,58.018,12283.3,43.502
71800,22.407,64.128,13713.2,47.998,11725.4,52.864
71900,21.327,52.422,14483.9,43.277,12259.6,41.178
72000,32.313,104.449,14212.9,72.797,12058.4,40.649
72100,27.831,69.862,13203,64.275,11230.7,51.725
72200,18.423,79.163,12528.7,41.028,11516.9,40.796
72300,17.708,53.354,12957.1,41.551,11383.3,41.448
72400,18.474,49.67,12926.2,41.965,11403.4,41.574
72500,18.339,74.764,13212.5,40.714,11854.3,41.158
72600,23.473,72.624,13664.9,79.306,12242.9,49.139
72700,18.093,55.296,14396.6,60.203,13397.4,66.184
72800,40.093,65.849,15829,67.986,13957.4,56.78
72900,24.954,94.828,17031.3,46.164,13185.3,71.887
73000,22.947,49.18,13725.1,40.919,11819.5,40.415
73100,36.069,60.695,14473.7,71.865,12804.3,40.778
73200,16.233,95.103,13448.4,52.091,12147.9,40.603
73300,22.736,74.878,13464.9,40.549,11933.7,64.141
73400,23.922,107.33,14220,48.046,12217.5,42.188
73500,33.395,55.311,14443.2,40.667,12693.9,41.215
73600,34.019,50.269,10217.4,34.447,9003.91,33.569
73700,17.286,40,10253.4,33.403,9130.46,36.989
73800,16.531,40.63,10079,37.296,9320.68,36.776
73900,18.946,43.41,11924.4,49.575,13612.3,40.776
74000,17.786,72.787,16305.8,40.217,14124.2,72.266
74100,21.276,65.871,15833.2,41.996,19990.3,92.937
74200,26.226,101.911,16857.4,54.12,14312.2,84.227
74300,29.449,105.442,15580,64.873,14014.4,68.413
74400,20.361,75.177,15413.3,48.464,13875.4,62.678
74500,22.287,88.111,16310.6,66.911,14359.4,63.547
74600,28.035,86.949,15525.6,45.315,14227.2,57.67
74700,30.08,95.384,17576.6,76.691,15948.7,62.242
74800,21.546,68.137,16759,56.189,13840.6,61.78
74900,34.903,83.49,15601.7,64.781,14057.9,51.152
75000,22.476,90.761,15850.4,70.681,13649.1,58.719
75100,28.669,63.925,14280.9,42.099,12712.7,58.022
75200,32.623,55.997,14258.1,49.001,12675.7,43.713
75300,19.716,80.007,14007.9,41.818,12899.7,59.752
75400,22.33,51.014,14532.1,41.794,13069.5,49.098
75500,41.104,69.816,14612.4,55.939,12960.6,69.901
75600,30.91,82.083,14577.2,44.984,13018.8,42.008
75700,23.971,66.5,14345.4,72.931,12667.7,57.706
75800,22.231,89.82,14915,51.959,13120.7,41.999
75900,30.923,69.514,14147.7,67.601,12817.5,41.798
76000,26.812,107.888,14595.3,41.995,13026.7,60.602
76100,37.865,76.433,14296.2,42.116,12817.3,42.002
76200,17.038,84.979,14666.3,86.825,12824.5,43.062
76300,24.023,102.914,14622.1,42.514,14481.9,59.809
76400,17.508,70.117,15216.5,43.506,15946.2,62.511
76500,23.278,67.618,16399.2,42.994,14361.8,45.004
76600,27.686,95.582,14376.5,42.106,12367.1,43.008
76700,18.522,66.326,15359.3,45.001,16024.3,63.183
76800,31.082,99.701,18471.2,49.585,16534.8,63.713
76900,32.999,71.524,19307.5,85.672,17243.5,59.685
77000,24.903,101.091,19914.8,64.509,17283.1,54.994
77100,29.724,116.018,19697.3,77.511,17266.5,66.885
77200,20.023,88.723,19560.8,107.815,17515.7,55.721
77300,21.097,76.627,19249.7,55.571,15931.3,42.711
77400,17.694,59.963,17819.4,50.556,16185.6,64.23
77500,29.998,81.52,18890.3,60.998,17141.1,58.132
77600,35.093,111.253,19975.7,57.003,16444.5,50.612
77700,24.676,75.108,16841.3,44.024,12674.7,52.803
77800,26.015,75.023,14359.6,43.697,12739.5,55.145
77900,18.286,84.586,14581.9,44.539,13833.9,51.985
78000,21.264,62.131,19298.2,58.534,17002.2,74.695
78100,24.994,86.617,18381.9,59.625,15752.8,49.069
78200,22.028,53.002,16854.8,99.54,15126,71.873
78300,26.002,72.795,18661.9,67.008,15261.4,65.997
78400,38.047,72.436,17573.2,82.488,16744,90.339
78500,34.374,74.956,16803.7,56.082,16046.6,64.578
78600,29.665,77.195,15324.1,69.619,14180.8,43.688
