Block Size,Insertion Sort Best Case (ms),Insertion Sort Worst Case (ms),Selection Sort Best Case (ms),Selection Sort Worst Case (ms)
67400,0.00,4547.00,4507.00,4073.00
67500,0.00,4562.00,4526.00,4095.00
67600,0.00,4509.00,4575.00,4159.00
67700,1.00,4551.00,4586.00,4145.00
67800,0.00,4549.00,4571.00,4138.00
67900,0.00,4689.00,4591.00,4189.00
68000,0.00,4762.00,4633.00,4245.00
68100,1.00,4793.00,4658.00,4249.00
68200,0.00,4664.00,4611.00,4187.00
68300,1.00,4600.00,4618.00,4202.00
68400,0.00,4792.00,4631.00,4233.00
68500,0.00,4731.00,4655.00,4236.00
68600,0.00,4676.00,4701.00,4299.00
68700,0.00,4736.00,4690.00,4294.00
68800,2.00,4665.00,4710.00,4246.00
68900,0.00,4715.00,4697.00,4275.00
69000,0.00,4823.00,4739.00,4314.00
69100,0.00,4830.00,4743.00,4283.00
69200,1.00,4768.00,4765.00,4296.00
69300,1.00,4760.00,4835.00,4313.00
69400,1.00,4802.00,4776.00,4344.00
69500,0.00,4888.00,4803.00,4338.00
69600,0.00,4829.00,4802.00,4371.00
69700,1.00,4839.00,4818.00,4378.00
69800,0.00,4818.00,4856.00,4371.00
69900,0.00,4937.00,4847.00,4401.00
70000,1.00,4964.00,4863.00,4403.00
70100,1.00,4838.00,4976.00,4488.00
70200,1.00,4968.00,4899.00,4419.00
70300,0.00,4912.00,4906.00,4448.00
70400,1.00,4880.00,4912.00,4466.00
70500,1.00,4996.00,4924.00,4478.00
70600,1.00,5057.00,4947.00,4473.00
70700,0.00,5145.00,4966.00,4506.00
70800,0.00,5067.00,4967.00,4501.00
70900,0.00,5115.00,4973.00,4554.00
71000,1.00,4967.00,4989.00,4579.00
71100,0.00,5027.00,5015.00,4590.00
71200,0.00,5048.00,5024.00,4538.00
71300,0.00,4997.00,5027.00,4555.00
71400,0.00,5092.00,5094.00,4582.00
71500,0.00,5139.00,5058.00,4687.00
71600,0.00,5073.00,5078.00,4602.00
71700,0.00,5084.00,5107.00,4697.00
71800,0.00,5094.00,5124.00,4662.00
71900,0.00,5107.00,5139.00,4658.00
72000,1.00,5168.00,5158.00,4710.00
72100,0.00,5144.00,5179.00,4741.00
72200,0.00,5317.00,5166.00,4691.00
72300,1.00,5214.00,5230.00,4698.00
72400,1.00,5183.00,5207.00,4731.00
72500,0.00,5286.00,5221.00,4744.00
72600,0.00,5229.00,5214.00,4718.00
72700,0.00,5290.00,5253.00,4740.00
72800,1.00,5329.00,5250.00,4768.00
72900,1.00,5306.00,5299.00,4783.00
73000,0.00,5314.00,5299.00,4825.00
73100,1.00,5297.00,5307.00,4786.00
73200,0.00,5358.00,5309.00,4804.00
73300,1.00,5315.00,5350.00,4827.00
73400,0.00,5372.00,5381.00,4850.00
73500,0.00,5397.00,5364.00,4850.00
73600,1.00,5348.00,5378.00,4993.00
73700,1.00,5399.00,5422.00,4906.00
73800,0.00,5400.00,5407.00,4969.00
73900,1.00,5472.00,5416.00,5209.00
74000,0.00,5474.00,5447.00,5128.00
74100,0.00,5550.00,5485.00,4961.00
74200,0.00,5570.00,5470.00,5078.00
74300,1.00,5502.00,5478.00,4950.00
74400,2.00,5500.00,5502.00,4987.00
74500,0.00,5533.00,5560.00,4988.00
74600,0.00,5542.00,5536.00,4992.00
74700,1.00,5560.00,5524.00,5024.00
74800,0.00,5628.00,5553.00,5019.00
74900,0.00,5626.00,5597.00,5034.00
75000,0.00,5723.00,5598.00,5077.00
75100,0.00,5612.00,5585.00,5063.00
75200,0.00,5599.00,5608.00,5170.00
75300,0.00,5612.00,5628.00,5164.00
75400,0.00,5692.00,5641.00,5117.00
75500,0.00,5738.00,5653.00,5126.00
75600,0.00,5672.00,5681.00,5118.00
75700,1.00,5687.00,5709.00,5198.00
75800,0.00,5745.00,5696.00,5277.00
75900,0.00,5762.00,5760.00,5181.00
76000,0.00,5735.00,5740.00,5197.00
76100,0.00,5819.00,5747.00,5208.00
76200,1.00,5736.00,5743.00,5218.00
76300,1.00,6065.00,5805.00,5322.00
76400,0.00,6028.00,5797.00,5251.00
76500,0.00,5832.00,5836.00,5246.00
76600,0.00,5847.00,5816.00,5268.00
76700,0.00,5798.00,5823.00,5289.00
76800,0.00,5851.00,5853.00,5322.00
76900,0.00,5863.00,5873.00,5336.00
77000,0.00,5970.00,5868.00,5526.00
77100,0.00,5906.00,5900.00,5360.00
77200,0.00,5978.00,5946.00,5356.00
77300,0.00,5880.00,5938.00,5375.00
77400,1.00,5951.00,5943.00,5429.00
77500,0.00,5918.00,5968.00,5428.00
77600,0.00,6109.00,6074.00,5421.00
77700,0.00,6008.00,6002.00,5470.00
77800,0.00,6110.00,5997.00,5475.00
77900,0.00,6065.00,6036.00,5442.00
78000,0.00,6174.00,6034.00,5461.00
78100,0.00,6056.00,6041.00,5521.00
78200,0.00,6037.00,6049.00,5489.00
78300,0.00,6194.00,6372.00,5580.00
78400,0.00,6142.00,6106.00,5560.00
78500,0.00,6095.00,6135.00,5591.00
78600,2.00,6108.00,6131.00,5557.00
78700,1.00,6134.00,6145.00,5632.00
78800,0.00,6201.00,6205.00,5658.00
78900,0.00,6206.00,6191.00,5661.00
79000,0.00,6183.00,6191.00,5608.00
79100,0.00,6208.00,6288.00,5851.00
79200,0.00,6675.00,7391.00,8221.00
79300,0.00,6937.00,6583.00,6057.00
79400,0.00,6752.00,6825.00,5989.00
79500,1.00,6556.00,6393.00,5758.00
79600,0.00,6318.00,6386.00,5773.00
79700,0.00,6459.00,6518.00,5962.00
79800,0.00,6677.00,6617.00,5958.00
79900,0.00,6664.00,6614.00,5996.00
80000,0.00,6611.00,6579.00,6032.00
80100,0.00,6538.00,6588.00,6020.00
80200,0.00,6665.00,6638.00,5985.00
80300,1.00,6552.00,6770.00,5991.00
80400,1.00,6754.00,6662.00,6016.00
80500,0.00,6776.00,6682.00,6111.00
80600,0.00,6838.00,6730.00,6076.00
80700,0.00,6948.00,6740.00,6287.00
80800,0.00,6925.00,6780.00,6134.00
80900,0.00,6744.00,7084.00,6264.00
81000,0.00,6752.00,6828.00,6179.00
81100,0.00,6689.00,6835.00,6170.00
81200,0.00,6840.00,6849.00,6137.00
81300,0.00,6991.00,8423.00,7793.00
81400,0.00,8506.00,8503.00,7755.00
81500,0.00,8524.00,8600.00,7759.00
81600,0.00,9494.00,8612.00,7633.00
81700,0.00,8570.00,8878.00,7759.00
81800,0.00,8801.00,8647.00,7802.00
81900,0.00,8818.00,8641.00,7661.00
82000,0.00,8811.00,8734.00,8905.00
82100,0.00,9258.00,8723.00,7800.00
82200,0.00,8688.00,8743.00,8148.00
82300,0.00,10020.00,8906.00,8303.00
82400,0.00,19683.00,27604.00,25641.00
82500,2.00,30734.00,29243.00,28148.00
82600,5.00,31155.00,29315.00,27390.00
82700,0.00,31688.00,29722.00,26825.00
82800,1.00,31944.00,30220.00,28107.00
82900,2.00,31490.00,30678.00,25332.00
83000,2.00,26622.00,28870.00,25958.00
83100,0.00,25270.00,25827.00,23894.00
83200,0.00,14434.00,20440.00,24635.00
83300,0.00,27142.00,27857.00,24733.00
83400,0.00,29524.00,30031.00,27620.00
83500,0.00,29390.00,28214.00,25090.00
83600,0.00,29407.00,26194.00,25079.00
83700,0.00,28468.00,27603.00,26011.00
83800,0.00,30567.00,31861.00,26108.00
83900,0.00,28749.00,28274.00,26994.00
84000,0.00,28714.00,28218.00,25968.00
84100,0.00,29029.00,30305.00,30117.00
84200,2.00,31067.00,29805.00,26369.00
84300,0.00,29219.00,29166.00,26601.00
84400,0.00,29250.00,29015.00,26649.00
84500,0.00,29543.00,29685.00,26874.00
84600,0.00,29527.00,29323.00,26771.00
84700,0.00,29597.00,29480.00,26817.00
84800,0.00,29683.00,29309.00,26974.00
84900,0.00,29802.00,29623.00,26944.00
85000,0.00,29811.00,29507.00,27307.00
85100,9.00,29842.00,29811.00,27542.00
85200,8.00,30010.00,31186.00,27739.00
85300,0.00,30202.00,29811.00,26714.00
85400,5.00,30296.00,29970.00,27392.00
85500,0.00,30457.00,29945.00,27395.00
85600,0.00,30241.00,30163.00,27440.00
85700,0.00,30345.00,30376.00,27656.00
85800,0.00,30739.00,30268.00,27548.00
85900,0.00,29452.00,18359.00,16441.00
86000,0.00,18194.00,18447.00,16519.00
86100,0.00,18378.00,17770.00,16639.00
86200,2.00,17824.00,18116.00,17004.00
86300,0.00,18411.00,17674.00,16629.00
86400,0.00,18095.00,18438.00,17107.00
86500,0.00,17775.00,18361.00,16930.00
86600,1.00,17608.00,18819.00,16987.00
86700,0.00,18053.00,17617.00,16833.00
86800,0.00,18349.00,18474.00,16831.00
86900,0.00,18880.00,19617.00,17179.00
87000,0.00,18978.00,17871.00,17031.00
87100,0.00,18533.00,18690.00,16978.00
87200,0.00,18434.00,18282.00,16408.00
87300,1.00,18444.00,19157.00,16744.00
87400,0.00,18476.00,18221.00,16812.00
87500,0.00,17789.00,18028.00,16385.00
87600,0.00,17918.00,18483.00,16167.00
87700,0.00,18266.00,18240.00,16249.00
87800,3.00,18668.00,18330.00,16903.00
87900,0.00,19475.00,19040.00,16896.00
88000,0.00,19136.00,18874.00,17052.00
88100,0.00,17848.00,17982.00,16428.00
88200,0.00,17665.00,18150.00,16943.00
88300,0.00,18335.00,18876.00,17201.00
88400,0.00,19307.00,19442.00,17049.00
88500,0.00,19184.00,18733.00,16865.00
88600,0.00,19088.00,18205.00,17924.00
88700,0.00,18569.00,19376.00,16840.00
88800,0.00,18953.00,19101.00,17239.00
88900,0.00,19198.00,18725.00,17794.00
89000,1.00,20189.00,19614.00,17393.00
89100,0.00,19392.00,18913.00,17536.00
89200,0.00,19202.00,19533.00,17792.00
89300,0.00,19805.00,19007.00,16561.00
89400,0.00,18481.00,18282.00,17384.00
89500,0.00,19112.00,20945.00,17942.00
89600,0.00,19052.00,19961.00,18511.00
89700,0.00,19856.00,19471.00,16595.00
89800,0.00,19299.00,19641.00,18032.00
89900,0.00,19776.00,19309.00,18890.00
90000,0.00,19370.00,20299.00,18334.00
90100,0.00,19473.00,19837.00,17961.00
90200,0.00,20148.00,19808.00,17641.00
90300,0.00,19994.00,20117.00,18205.00
90400,4.00,20079.00,19968.00,17899.00
90500,0.00,19392.00,20110.00,18633.00
90600,0.00,19735.00,20159.00,18283.00
90700,0.00,20200.00,19390.00,18532.00
90800,0.00,20693.00,20015.00,18643.00
90900,0.00,19905.00,19617.00,17519.00
91000,0.00,20209.00,19997.00,18478.00
91100,0.00,19866.00,19620.00,18686.00
91200,0.00,20778.00,20703.00,19412.00
91300,0.00,20888.00,20245.00,18414.00
91400,0.00,20107.00,20479.00,18996.00
91500,0.00,20550.00,20903.00,18558.00
91600,0.00,19902.00,20343.00,18467.00
91700,0.00,21184.00,19766.00,17970.00
91800,0.00,20629.00,20718.00,18587.00
91900,0.00,20548.00,21561.00,19163.00
92000,0.00,21278.00,20557.00,18972.00
92100,0.00,21769.00,20157.00,18483.00
92200,0.00,20953.00,21376.00,18902.00
92300,0.00,20474.00,20311.00,19072.00
92400,0.00,20882.00,21935.00,18732.00
92500,2.00,19802.00,16519.00,15148.00
92600,0.00,16223.00,16703.00,14788.00
92700,0.00,16271.00,16074.00,14642.00
92800,0.00,16310.00,16225.00,14728.00
92900,5.00,16280.00,16250.00,14903.00
93000,0.00,16596.00,16117.00,15036.00
93100,1.00,16499.00,16213.00,14916.00
93200,0.00,16667.00,16689.00,14498.00
93300,0.00,15678.00,15740.00,14023.00
93400,0.00,15960.00,15725.00,14517.00
93500,0.00,16035.00,15825.00,14640.00
93600,1.00,15822.00,16054.00,14990.00
93700,0.00,16045.00,15689.00,14317.00
93800,0.00,15741.00,16189.00,14527.00
93900,3.00,16365.00,15639.00,14521.00
94000,0.00,16049.00,17096.00,14481.00
94100,0.00,16278.00,15866.00,14374.00
94200,0.00,15987.00,15989.00,15240.00
94300,0.00,16284.00,16393.00,15211.00
94400,0.00,16431.00,15960.00,14814.00
94500,0.00,16683.00,16375.00,14742.00
94600,0.00,16350.00,16026.00,14702.00
94700,0.00,16251.00,16350.00,14789.00
94800,0.00,16408.00,16140.00,14833.00
94900,2.00,16560.00,15996.00,14744.00
95000,0.00,16261.00,16042.00,14899.00
95100,0.00,16627.00,16500.00,15000.00
95200,0.00,16980.00,16326.00,14955.00
95300,0.00,16340.00,16368.00,14836.00
95400,0.00,16337.00,16909.00,15478.00
95500,8.00,17104.00,17186.00,15306.00
95600,0.00,17132.00,17096.00,15287.00
95700,0.00,17212.00,17957.00,16058.00
95800,0.00,16774.00,16729.00,15094.00
95900,3.00,17378.00,16937.00,15186.00
96000,0.00,33880.00,41935.00,38991.00
96100,9.00,43179.00,2193612.00,16112.00
96200,2.00,13935.00,16702.00,18894.00
96300,0.00,17057.00,22014.00,19669.00
96400,1.00,21014.00,25065.00,22973.00
96500,1.00,20824.00,17071.00,17365.00
96600,0.00,17902.00,17582.00,16271.00
96700,1.00,17208.00,18846.00,15839.00
96800,0.00,17336.00,17670.00,15674.00
96900,1.00,20105.00,19759.00,17496.00
97000,0.00,16551.00,17095.00,15794.00
97100,1.00,16832.00,16561.00,16100.00
97200,0.00,17922.00,17224.00,15822.00
97300,1.00,18877.00,20905.00,17158.00
97400,0.00,21919.00,20699.00,18034.00
97500,0.00,19959.00,19818.00,18844.00
97600,1.00,19792.00,20083.00,18324.00
97700,0.00,19616.00,19431.00,18502.00
97800,0.00,18472.00,18493.00,16911.00
97900,0.00,18790.00,19159.00,19853.00
98000,0.00,21625.00,21011.00,18215.00
98100,1.00,19660.00,19538.00,18117.00
98200,1.00,18929.00,19226.00,17373.00
98300,1.00,19908.00,20453.00,19951.00
98400,2.00,22230.00,22255.00,21124.00
98500,1.00,21062.00,21712.00,19332.00
98600,0.00,21696.00,20714.00,19253.00
98700,1.00,21522.00,22665.00,20503.00
98800,0.00,20407.00,21104.00,20546.00
98900,1.00,22575.00,21742.00,19764.00
99000,1.00,21854.00,21312.00,20436.00
99100,1.00,21706.00,22045.00,15426.00
99200,0.00,12558.00,13388.00,12851.00
99300,1.00,22531.00,21579.00,20263.00
99400,1.00,12418.00,17977.00,20104.00
99500,0.00,21815.00,22005.00,20152.00
99600,0.00,22027.00,22595.00,20638.00
99700,1.00,22231.00,21873.00,17238.00
99800,0.00,13188.00,17446.00,13075.00
99900,0.00,12051.00,13445.00,12549.00
100000,1.00,12670.00,11973.00,13111.00
